Movie_Title,Director,Actors,Total_Gross,main_genre,budget,genres,id,imdb_id,original_language,original_title,revenue
Gladiator,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",$187.71M,Action,103000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",98,tt0172495,en,Gladiator,457640427.0
Léon,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",$19.50M,Action,16000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",101,tt0110413,fr,Léon,45284974.0
The Dark Knight Rises,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman",$448.14M,Action,250000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",49026,tt1345836,en,The Dark Knight Rises,1084939099.0
Aliens,James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser",$85.16M,Action,18500000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",679,tt0090605,en,Aliens,183316455.0
Raiders of the Lost Ark,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies",$248.16M,Action,18000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",85,tt0082971,en,Raiders of the Lost Ark,389925971.0
Heat,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",$67.44M,Action,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",949,tt0113277,en,Heat,187436818.0
Heat,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",$67.44M,Action,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",4579,tt0068688,en,Heat,0.0
Heat,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",$67.44M,Action,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",42023,tt0093164,en,Heat,0.0
North by Northwest,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis",$13.28M,Action,4000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",213,tt0053125,en,North by Northwest,13275000.0
Baahubali 2: The Conclusion,S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia",$20.19M,Action,18000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",350312,tt4849438,te,Baahubali 2: The Conclusion,230000000.0
Paan Singh Tomar,Tigmanshu Dhulia,"Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya",$0.04M,Action,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",96398,tt1620933,hi,Paan Singh Tomar,0.0
Warrior,Gavin O'Connor,"Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison",$13.66M,Action,25000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",59440,tt1291584,en,Warrior,23057115.0
V for Vendetta,James McTeigue,"Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea",$70.51M,Action,54000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}]",752,tt0434409,en,V for Vendetta,132511035.0
Batman Begins,Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson",$206.85M,Action,150000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",272,tt0372784,en,Batman Begins,374218673.0
Kill Bill: Vol. 1,Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen",$70.10M,Action,30000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",24,tt0266697,en,Kill Bill: Vol. 1,180949000.0
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham",$3.90M,Action,1350000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",100,tt0120735,en,"Lock, Stock and Two Smoking Barrels",3897569.0
Jurassic Park,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough",$402.45M,Action,63000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",329,tt0107290,en,Jurassic Park,920100000.0
Indiana Jones and the Last Crusade,Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott",$197.17M,Action,48000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",89,tt0097576,en,Indiana Jones and the Last Crusade,474171806.0
Die Hard,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",$83.01M,Action,28000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",562,tt0095016,en,Die Hard,140767956.0
The General,"Directors:Clyde Bruckman, Buster Keaton","Buster Keaton, Marion Mack, Glen Cavender, Jim Farley",$1.03M,Action,0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",16885,tt0120706,en,The General,1214198.0
The General,"Directors:Clyde Bruckman, Buster Keaton","Buster Keaton, Marion Mack, Glen Cavender, Jim Farley",$1.03M,Action,750000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",961,tt0017925,en,The General,0.0
Bajrangi Bhaijaan,Kabir Khan,"Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor",$8.18M,Action,14000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",348892,tt3863552,hi,Bajrangi Bhaijaan,98000000.0
Logan,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",$226.28M,Action,135000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",44010,tt1483010,en,Logan,10474.0
Logan,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",$226.28M,Action,97000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",263115,tt3315342,en,Logan,616801808.0
Rush,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara",$26.95M,Action,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",20289,tt0102820,en,Rush,0.0
Rush,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara",$26.95M,Action,38000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",96721,tt1979320,en,Rush,90247624.0
Rush,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara",$26.95M,Action,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",20289,tt0102820,en,Rush,0.0
Rush,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara",$26.95M,Action,38000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",96721,tt1979320,en,Rush,90247624.0
Mad Max: Fury Road,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz",$154.06M,Action,150000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",76341,tt1392190,en,Mad Max: Fury Road,378858340.0
How to Train Your Dragon,"Directors:Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson",$217.58M,Animation,165000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",10191,tt0892769,en,How to Train Your Dragon,494878759.0
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",$305.41M,Action,140000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",22,tt0325980,en,Pirates of the Caribbean: The Curse of the Black Pearl,655011224.0
Hera Pheri,Priyadarshan,"Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu",Gross Unkown,Action,0,"[{'id': 35, 'name': 'Comedy'}]",21614,tt0242519,hi,Hera Pheri,0.0
Sarfarosh,John Mathew Matthan,"Aamir Khan, Naseeruddin Shah, Sonali Bendre, Mukesh Rishi",Gross Unkown,Action,0,"[{'id': 10769, 'name': 'Foreign'}]",31524,tt0200087,en,Sarfarosh,0.0
The Iron Giant,Brad Bird,"Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel",$23.16M,Animation,70000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",10386,tt0129167,en,The Iron Giant,23159305.0
The Terminator,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield",$38.40M,Action,6400000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",218,tt0088247,en,The Terminator,78371200.0
Blade Runner,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",$32.87M,Action,28000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",78,tt0083658,en,Blade Runner,33139618.0
White Heat,Raoul Walsh,"James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly",Gross Unkown,Action,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",15794,tt0042041,en,White Heat,0.0
Haider,Vishal Bhardwaj,"Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon",$0.90M,Action,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",280795,tt3390572,hi,Haider,0.0
Guardians of the Galaxy,James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",$333.18M,Action,170000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",118340,tt2015381,en,Guardians of the Galaxy,773328629.0
The Revenant,Alejandro G. Iñárritu,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",$183.64M,Action,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",79896,tt1336006,en,The Revenant,0.0
The Revenant,Alejandro G. Iñárritu,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",$183.64M,Action,135000000,"[{'id': 37, 'name': 'Western'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",281957,tt1663202,en,The Revenant,532950503.0
Deadpool,Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",$363.07M,Action,58000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",293660,tt1431045,en,Deadpool,783112979.0
Tropa de Elite,José Padilha,"Wagner Moura, André Ramiro, Caio Junqueira, Milhem Cortaz",$0.01M,Action,4000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",7347,tt0861739,pt,Tropa de Elite,0.0
The Avengers,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner",$623.28M,Action,60000000,"[{'id': 53, 'name': 'Thriller'}]",9320,tt0118661,en,The Avengers,48585416.0
The Avengers,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner",$623.28M,Action,220000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",24428,tt0848228,en,The Avengers,1519557910.0
The Bourne Ultimatum,Paul Greengrass,"Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles",$227.47M,Action,70000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",2503,tt0440963,en,The Bourne Ultimatum,442824138.0
Casino Royale,Martin Campbell,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright",$167.45M,Action,12000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",12208,tt0061452,en,Casino Royale,41744718.0
Casino Royale,Martin Campbell,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright",$167.45M,Action,150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",36557,tt0381061,en,Casino Royale,599045960.0
Casino Royale,"Directors:Val Guest, Ken Hughes, John Huston, Joseph McGrath, Robert Parrish, Richard Talmadge","David Niven, Peter Sellers, Ursula Andress, Orson Welles",Gross Unkown,Comedy,12000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",12208,tt0061452,en,Casino Royale,41744718.0
Casino Royale,"Directors:Val Guest, Ken Hughes, John Huston, Joseph McGrath, Robert Parrish, Richard Talmadge","David Niven, Peter Sellers, Ursula Andress, Orson Welles",Gross Unkown,Comedy,150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",36557,tt0381061,en,Casino Royale,599045960.0
Kill Bill: Vol. 2,Quentin Tarantino,"Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah",$66.21M,Action,30000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",393,tt0378194,en,Kill Bill: Vol. 2,152159461.0
The Incredibles,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee",$261.44M,Animation,92000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",9806,tt0317705,en,The Incredibles,631442092.0
Andaz Apna Apna,Rajkumar Santoshi,"Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor",Gross Unkown,Action,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",58128,tt0109117,hi,Andaz Apna Apna,0.0
Airlift,Raja Menon,"Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi",Gross Unkown,Action,4500000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",375290,tt4387040,hi,Airlift,32000000.0
Baby,Neeraj Pandey,"Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu",Gross Unkown,Action,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",314389,tt3848892,hi,Baby,0.0
Thor: Ragnarok,Taika Waititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo",$315.06M,Action,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",284053,tt3501632,en,Thor: Ragnarok,0.0
X-Men: Days of Future Past,Bryan Singer,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy",$233.92M,Action,250000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",127585,tt1877832,en,X-Men: Days of Future Past,747862775.0
Edge of Tomorrow,Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson",$100.21M,Action,178000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",137113,tt1631867,en,Edge of Tomorrow,370541256.0
District 9,Neill Blomkamp,"Sharlto Copley, David James, Jason Cope, Nathalie Boltt",$115.65M,Action,30000000,"[{'id': 878, 'name': 'Science Fiction'}]",17654,tt1136608,en,District 9,210819611.0
Star Trek,J.J. Abrams,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy",$257.73M,Action,150000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",13475,tt0796366,en,Star Trek,385680446.0
Letters from Iwo Jima,Clint Eastwood,"Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryô Kase",$13.76M,Action,19000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",1251,tt0498380,en,Letters from Iwo Jima,68673228.0
Iron Man,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges",$318.41M,Action,140000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",1726,tt0371746,en,Iron Man,585174222.0
Iron Man,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges",$318.41M,Action,0,"[{'id': 18, 'name': 'Drama'}]",69592,tt0043678,en,Iron Man,0.0
Iron Man,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges",$318.41M,Action,0,"[{'id': 18, 'name': 'Drama'}]",194310,tt0022002,en,Iron Man,0.0
The Bourne Identity,Doug Liman,"Franka Potente, Matt Damon, Chris Cooper, Clive Owen",$121.66M,Action,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",2501,tt0258463,en,The Bourne Identity,214034224.0
The Bourne Identity,Doug Liman,"Franka Potente, Matt Damon, Chris Cooper, Clive Owen",$121.66M,Action,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",8677,tt0094791,en,The Bourne Identity,0.0
Children of Men,Alfonso Cuarón,"Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine",$35.55M,Action,76000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",9693,tt0206634,en,Children of Men,69959751.0
Knockin' on Heaven's Door,Thomas Jahn,"Til Schweiger, Jan Josef Liefers, Thierry van Werveke, Moritz Bleibtreu",$0.00M,Action,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",158,tt0119472,de,Knockin' on Heaven's Door,0.0
Kôkaku Kidôtai,Mamoru Oshii,"Atsuko Tanaka, Iemasa Kayumi, Akio Ôtsuka, Kôichi Yamadera",$0.52M,Animation,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 16, 'name': 'Animation'}]",334376,tt4337072,ja,Kôkaku Kidôtai,101203.0
The Blues Brothers,John Landis,"John Belushi, Dan Aykroyd, Cab Calloway, John Candy",$57.23M,Action,27000000,"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",525,tt0080455,en,The Blues Brothers,115229890.0
The Wild Bunch,Sam Peckinpah,"William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien",$12.06M,Action,6244087,"[{'id': 12, 'name': 'Adventure'}, {'id': 37, 'name': 'Western'}]",576,tt0065214,en,The Wild Bunch,638641.0
Per un pugno di dollari,Sergio Leone,"Clint Eastwood, Gian Maria Volontè, Marianne Koch, Wolfgang Lukschy",$14.50M,Action,200000,"[{'id': 37, 'name': 'Western'}]",391,tt0058461,it,Per un pugno di dollari,14500000.0
The Adventures of Robin Hood,"Directors:Michael Curtiz, William Keighley","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains",$3.98M,Action,2033000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]",10907,tt0029843,en,The Adventures of Robin Hood,3981000.0
Dunkirk,Christopher Nolan,"Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy",$188.37M,Action,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",17720,tt0051565,en,Dunkirk,0.0
Dunkirk,Christopher Nolan,"Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy",$188.37M,Action,100000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",374720,tt5013056,en,Dunkirk,519876949.0
Captain America: Civil War,"Directors:Anthony Russo, Joe Russo","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",$408.08M,Action,250000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",271110,tt3498820,en,Captain America: Civil War,1153304495.0
Big Hero 6,"Directors:Don Hall, Chris Williams","Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller",$222.53M,Animation,165000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",177572,tt2245084,en,Big Hero 6,652105443.0
Captain America: The Winter Soldier,"Directors:Anthony Russo, Joe Russo","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",$259.77M,Action,170000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",100402,tt1843866,en,Captain America: The Winter Soldier,714766572.0
How to Train Your Dragon 2,Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson",$177.00M,Animation,145000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",82702,tt1646971,en,How to Train Your Dragon 2,609123048.0
Captain Phillips,Paul Greengrass,"Tom Hanks, Barkhad Abdi, Barkhad Abdirahman, Catherine Keener",$107.10M,Action,55000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",109424,tt1535109,en,Captain Phillips,95000000.0
