director_name,actor_2_name,gross,genres_x,actor_1_name,movie_title,budget_x,imdb_score,budget_y,genres_y,id,imdb_id,original_language,original_title,revenue
Gore Verbinski,Ruth Wilson,89289910.0,Action|Adventure|Western,Johnny Depp,The Lone Ranger,215000000.0,6.5,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 37, 'name': 'Western'}]",108266,tt0048310,en,The Lone Ranger,0.0
Gore Verbinski,Ruth Wilson,89289910.0,Action|Adventure|Western,Johnny Depp,The Lone Ranger,215000000.0,6.5,255000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 37, 'name': 'Western'}]",57201,tt1210819,en,The Lone Ranger,89289910.0
Gore Verbinski,Ruth Wilson,89289910.0,Action|Adventure|Western,Johnny Depp,The Lone Ranger,215000000.0,6.5,0,"[{'id': 37, 'name': 'Western'}]",258200,tt0030382,en,The Lone Ranger,0.0
Zack Snyder,Christopher Meloni,291021565.0,Action|Adventure|Fantasy|Sci-Fi,Henry Cavill,Man of Steel,225000000.0,7.2,225000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",49521,tt0770828,en,Man of Steel,662845518.0
Andrew Adamson,Pierfrancesco Favino,141614023.0,Action|Adventure|Family|Fantasy,Peter Dinklage,The Chronicles of Narnia: Prince Caspian,225000000.0,6.6,225000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",2454,tt0499448,en,The Chronicles of Narnia: Prince Caspian,419651413.0
Joss Whedon,Robert Downey Jr.,623279547.0,Action|Adventure|Sci-Fi,Chris Hemsworth,The Avengers,220000000.0,8.1,60000000,"[{'id': 53, 'name': 'Thriller'}]",9320,tt0118661,en,The Avengers,48585416.0
Joss Whedon,Robert Downey Jr.,623279547.0,Action|Adventure|Sci-Fi,Chris Hemsworth,The Avengers,220000000.0,8.1,220000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",24428,tt0848228,en,The Avengers,1519557910.0
Joss Whedon,Robert Downey Jr.,623279547.0,Action|Adventure|Sci-Fi,Chris Hemsworth,The Avengers,220000000.0,8.1,60000000,"[{'id': 53, 'name': 'Thriller'}]",9320,tt0118661,en,The Avengers,48585416.0
Joss Whedon,Robert Downey Jr.,623279547.0,Action|Adventure|Sci-Fi,Chris Hemsworth,The Avengers,220000000.0,8.1,220000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",24428,tt0848228,en,The Avengers,1519557910.0
Rob Marshall,Sam Claflin,241063875.0,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: On Stranger Tides,250000000.0,6.7,380000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",1865,tt1298650,en,Pirates of the Caribbean: On Stranger Tides,1045713802.0
Barry Sonnenfeld,Michael Stuhlbarg,179020854.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,Men in Black 3,225000000.0,6.8,225000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",41154,tt1409024,en,Men in Black 3,624026776.0
Peter Jackson,Adam Brown,255108370.0,Adventure|Fantasy,Aidan Turner,The Hobbit: The Battle of the Five Armies,250000000.0,7.5,250000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",122917,tt2310332,en,The Hobbit: The Battle of the Five Armies,956019788.0
Marc Webb,Andrew Garfield,262030663.0,Action|Adventure|Fantasy,Emma Stone,The Amazing Spider-Man,230000000.0,7.0,215000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",1930,tt0948470,en,The Amazing Spider-Man,752215857.0
Ridley Scott,William Hurt,105219735.0,Action|Adventure|Drama|History,Mark Addy,Robin Hood,200000000.0,6.7,15000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",11886,tt0070608,en,Robin Hood,32056467.0
Ridley Scott,William Hurt,105219735.0,Action|Adventure|Drama|History,Mark Addy,Robin Hood,200000000.0,6.7,0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]",71066,tt0013556,en,Robin Hood,0.0
Ridley Scott,William Hurt,105219735.0,Action|Adventure|Drama|History,Mark Addy,Robin Hood,200000000.0,6.7,200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",20662,tt0955308,en,Robin Hood,310669540.0
Ridley Scott,William Hurt,105219735.0,Action|Adventure|Drama|History,Mark Addy,Robin Hood,200000000.0,6.7,0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]",30840,tt0102797,en,Robin Hood,0.0
Peter Jackson,Adam Brown,258355354.0,Adventure|Fantasy,Aidan Turner,The Hobbit: The Desolation of Smaug,225000000.0,7.9,250000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",57158,tt1170358,en,The Hobbit: The Desolation of Smaug,958400000.0
Chris Weitz,Eva Green,70083519.0,Adventure|Family|Fantasy,Christopher Lee,The Golden Compass,180000000.0,6.1,180000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",2268,tt0385752,en,The Golden Compass,372234864.0
Peter Jackson,Thomas Kretschmann,218051260.0,Action|Adventure|Drama|Romance,Naomi Watts,King Kong,207000000.0,7.2,672000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",244,tt0024216,en,King Kong,10000000.0
Peter Jackson,Thomas Kretschmann,218051260.0,Action|Adventure|Drama|Romance,Naomi Watts,King Kong,207000000.0,7.2,23000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",10730,tt0074751,en,King Kong,90614445.0
Peter Jackson,Thomas Kretschmann,218051260.0,Action|Adventure|Drama|Romance,Naomi Watts,King Kong,207000000.0,7.2,207000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",254,tt0360717,en,King Kong,550000000.0
Peter Jackson,Thomas Kretschmann,218051260.0,Action|Adventure|Drama|Romance,Naomi Watts,King Kong,207000000.0,7.2,672000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",244,tt0024216,en,King Kong,10000000.0
Peter Jackson,Thomas Kretschmann,218051260.0,Action|Adventure|Drama|Romance,Naomi Watts,King Kong,207000000.0,7.2,23000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",10730,tt0074751,en,King Kong,90614445.0
Peter Jackson,Thomas Kretschmann,218051260.0,Action|Adventure|Drama|Romance,Naomi Watts,King Kong,207000000.0,7.2,207000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",254,tt0360717,en,King Kong,550000000.0
Peter Jackson,Thomas Kretschmann,218051260.0,Action|Adventure|Drama|Romance,Naomi Watts,King Kong,207000000.0,7.2,672000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",244,tt0024216,en,King Kong,10000000.0
Peter Jackson,Thomas Kretschmann,218051260.0,Action|Adventure|Drama|Romance,Naomi Watts,King Kong,207000000.0,7.2,23000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",10730,tt0074751,en,King Kong,90614445.0
Peter Jackson,Thomas Kretschmann,218051260.0,Action|Adventure|Drama|Romance,Naomi Watts,King Kong,207000000.0,7.2,207000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",254,tt0360717,en,King Kong,550000000.0
James Cameron,Kate Winslet,658672302.0,Drama|Romance,Leonardo DiCaprio,Titanic,200000000.0,7.7,200000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",597,tt0120338,en,Titanic,1845034188.0
James Cameron,Kate Winslet,658672302.0,Drama|Romance,Leonardo DiCaprio,Titanic,200000000.0,7.7,1805000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]",16535,tt0046435,en,Titanic,4905000.0
James Cameron,Kate Winslet,658672302.0,Drama|Romance,Leonardo DiCaprio,Titanic,200000000.0,7.7,13000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2699,tt0115392,en,Titanic,0.0
Anthony Russo,Scarlett Johansson,407197282.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Captain America: Civil War,250000000.0,8.2,250000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",271110,tt3498820,en,Captain America: Civil War,1153304495.0
Peter Berg,Alexander Skarsgård,65173160.0,Action|Adventure|Sci-Fi|Thriller,Liam Neeson,Battleship,209000000.0,5.9,209000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",44833,tt1440129,en,Battleship,303025485.0
Colin Trevorrow,Judy Greer,652177271.0,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,Jurassic World,150000000.0,7.0,150000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",135397,tt0369610,en,Jurassic World,1513528810.0
Sam Mendes,Helen McCrory,304360277.0,Action|Adventure|Thriller,Albert Finney,Skyfall,200000000.0,7.8,200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",37724,tt1074638,en,Skyfall,1108561013.0
Sam Mendes,Helen McCrory,304360277.0,Action|Adventure|Thriller,Albert Finney,Skyfall,200000000.0,7.8,200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",37724,tt1074638,en,Skyfall,1108561013.0
Sam Raimi,James Franco,373377893.0,Action|Adventure|Fantasy|Romance,J.K. Simmons,Spider-Man 2,200000000.0,7.3,200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",558,tt0316654,en,Spider-Man 2,783766341.0
Shane Black,Jon Favreau,408992272.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 3,200000000.0,7.2,200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",68721,tt1300854,en,Iron Man 3,1215439994.0
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland,200000000.0,6.5,3000000,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",12092,tt0043274,en,Alice in Wonderland,572000000.0
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland,200000000.0,6.5,21000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",30923,tt0164993,en,Alice in Wonderland,0.0
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland,200000000.0,6.5,14000000,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",34573,tt0088693,en,Alice in Wonderland,0.0
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland,200000000.0,6.5,200000000,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",12155,tt1014759,en,Alice in Wonderland,1025491110.0
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland,200000000.0,6.5,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",25694,tt0023753,en,Alice in Wonderland,0.0
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland,200000000.0,6.5,0,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",35109,tt0060089,en,Alice in Wonderland,0.0
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland,200000000.0,6.5,0,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",87300,tt0004873,en,Alice in Wonderland,0.0
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland,200000000.0,6.5,0,"[{'id': 14, 'name': 'Fantasy'}]",41278,tt0000420,en,Alice in Wonderland,0.0
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland,200000000.0,6.5,3000000,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",12092,tt0043274,en,Alice in Wonderland,572000000.0
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland,200000000.0,6.5,21000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",30923,tt0164993,en,Alice in Wonderland,0.0
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland,200000000.0,6.5,14000000,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",34573,tt0088693,en,Alice in Wonderland,0.0
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland,200000000.0,6.5,200000000,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",12155,tt1014759,en,Alice in Wonderland,1025491110.0
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland,200000000.0,6.5,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",25694,tt0023753,en,Alice in Wonderland,0.0
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland,200000000.0,6.5,0,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",35109,tt0060089,en,Alice in Wonderland,0.0
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland,200000000.0,6.5,0,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",87300,tt0004873,en,Alice in Wonderland,0.0
Tim Burton,Alan Rickman,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland,200000000.0,6.5,0,"[{'id': 14, 'name': 'Fantasy'}]",41278,tt0000420,en,Alice in Wonderland,0.0
Brett Ratner,Kelsey Grammer,234360014.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men: The Last Stand,210000000.0,6.8,210000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",36668,tt0376994,en,X-Men: The Last Stand,459359555.0
Dan Scanlon,Tyler Labine,268488329.0,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,Monsters University,200000000.0,7.3,200000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",62211,tt1453405,en,Monsters University,743559607.0
Michael Bay,Kevin Dunn,402076689.0,Action|Adventure|Sci-Fi,Glenn Morshower,Transformers: Revenge of the Fallen,200000000.0,6.0,150000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",8373,tt1055369,en,Transformers: Revenge of the Fallen,836297228.0
Michael Bay,Sophia Myles,245428137.0,Action|Adventure|Sci-Fi,Bingbing Li,Transformers: Age of Extinction,210000000.0,5.7,210000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",91314,tt2109248,en,Transformers: Age of Extinction,1091405097.0
Marc Webb,Andrew Garfield,202853933.0,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,The Amazing Spider-Man 2,200000000.0,6.7,200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",102382,tt1872181,en,The Amazing Spider-Man 2,705717432.0
Joseph Kosinski,Olivia Wilde,172051787.0,Action|Adventure|Sci-Fi,Jeff Bridges,TRON: Legacy,170000000.0,6.8,170000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",20526,tt1104001,en,TRON: Legacy,400062763.0
Joseph Kosinski,Olivia Wilde,172051787.0,Action|Adventure|Sci-Fi,Jeff Bridges,TRON: Legacy,170000000.0,6.8,170000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",20526,tt1104001,en,TRON: Legacy,400062763.0
John Lasseter,Thomas Kretschmann,191450875.0,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,Cars 2,200000000.0,6.3,200000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",49013,tt1216475,en,Cars 2,559852396.0
Martin Campbell,Temuera Morrison,116593191.0,Action|Adventure|Sci-Fi,Ryan Reynolds,Green Lantern,200000000.0,5.6,200000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",44912,tt1133985,en,Green Lantern,219851172.0
Lee Unkrich,John Ratzenberger,414984497.0,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,Toy Story 3,200000000.0,8.3,200000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",10193,tt0435761,en,Toy Story 3,1066969703.0
McG,Bryce Dallas Howard,125320003.0,Action|Adventure|Sci-Fi,Christian Bale,Terminator Salvation,200000000.0,6.6,200000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",534,tt0438488,en,Terminator Salvation,371353001.0
James Wan,Paul Walker,350034110.0,Action|Crime|Thriller,Jason Statham,Furious 7,190000000.0,7.2,190000000,"[{'id': 28, 'name': 'Action'}]",168259,tt2820852,en,Furious 7,1506249360.0
Marc Forster,Brad Pitt,202351611.0,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,World War Z,190000000.0,7.0,200000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",72190,tt0816711,en,World War Z,531865000.0
Bryan Singer,Peter Dinklage,233914986.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,X-Men: Days of Future Past,200000000.0,8.0,250000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",127585,tt1877832,en,X-Men: Days of Future Past,747862775.0
J.J. Abrams,Bruce Greenwood,228756232.0,Action|Adventure|Sci-Fi,Benedict Cumberbatch,Star Trek Into Darkness,190000000.0,7.8,190000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",54138,tt1408101,en,Star Trek Into Darkness,467365246.0
Bryan Singer,Ewen Bremner,65171860.0,Adventure|Fantasy,Eddie Marsan,Jack the Giant Slayer,195000000.0,6.3,195000000,"[{'id': 28, 'name': 'Action'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",81005,tt1351685,en,Jack the Giant Slayer,197687603.0
Baz Luhrmann,Elizabeth Debicki,144812796.0,Drama|Romance,Leonardo DiCaprio,The Great Gatsby,105000000.0,7.3,6500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",11034,tt0071577,en,The Great Gatsby,26533200.0
Baz Luhrmann,Elizabeth Debicki,144812796.0,Drama|Romance,Leonardo DiCaprio,The Great Gatsby,105000000.0,7.3,0,"[{'id': 18, 'name': 'Drama'}]",80890,tt0041428,en,The Great Gatsby,0.0
Baz Luhrmann,Elizabeth Debicki,144812796.0,Drama|Romance,Leonardo DiCaprio,The Great Gatsby,105000000.0,7.3,105000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",64682,tt1343092,en,The Great Gatsby,351040419.0
Baz Luhrmann,Elizabeth Debicki,144812796.0,Drama|Romance,Leonardo DiCaprio,The Great Gatsby,105000000.0,7.3,0,"[{'id': 18, 'name': 'Drama'}]",262176,tt0016938,en,The Great Gatsby,0.0
