director_name,actor_2_name,gross,genres,actor_1_name,movie_title,budget,imdb_score
Chris Buck,Maurice LaMarche,400736600.0,Adventure|Animation|Comedy|Family|Fantasy|Musical,Josh Gad,Frozen ,150000000.0,7.6
Lana Wachowski,Daniel Bernhardt,281492479.0,Action|Sci-Fi,Steve Bastoni,The Matrix Reloaded ,150000000.0,7.2
Alan Taylor,Natalie Portman,206360018.0,Action|Adventure|Fantasy,Chris Hemsworth,Thor: The Dark World ,170000000.0,7.1
George Miller,Charlize Theron,153629485.0,Action|Adventure|Sci-Fi|Thriller,Tom Hardy,Mad Max: Fury Road ,150000000.0,8.1
Ron Howard,Ayelet Zurer,133375846.0,Mystery|Thriller,Tom Hanks,Angels & Demons ,150000000.0,6.7
Kenneth Branagh,Natalie Portman,181015141.0,Action|Adventure|Fantasy,Chris Hemsworth,Thor ,150000000.0,7.0
Byron Howard,Diedrich Bader,114053579.0,Adventure|Animation|Comedy|Drama|Family,Chloë Grace Moretz,Bolt ,150000000.0,6.9
Hoyt Yeatman,Piper Mackenzie Harris,119420252.0,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Kelli Garner,G-Force ,150000000.0,5.1
Jonathan Liebesman,Edgar Ramírez,83640426.0,Action|Adventure|Fantasy,Liam Neeson,Wrath of the Titans ,150000000.0,5.8
Tim Burton,Chloë Grace Moretz,79711678.0,Comedy|Fantasy|Horror,Johnny Depp,Dark Shadows ,100000000.0,6.2
Christopher McQuarrie,Jeremy Renner,195000874.0,Action|Adventure|Thriller,Tom Cruise,Mission: Impossible - Rogue Nation ,150000000.0,7.4
Joe Johnston,Simon Merrells,61937495.0,Drama|Fantasy|Horror|Thriller,Anthony Hopkins,The Wolfman ,150000000.0,5.8
David Yates,Alexander Skarsgård,124051759.0,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan ,180000000.0,6.6
Steve Hickner,Oprah Winfrey,126597121.0,Adventure|Animation|Comedy|Family,Matthew Broderick,Bee Movie ,150000000.0,6.2
Jennifer Yuh Nelson,Gary Oldman,165230261.0,Action|Adventure|Animation|Comedy|Family,Angelina Jolie Pitt,Kung Fu Panda 2 ,150000000.0,7.3
M. Night Shyamalan,Noah Ringer,131564731.0,Action|Adventure|Family|Fantasy,Seychelle Gabriel,The Last Airbender ,150000000.0,4.2
J.J. Abrams,Tom Cruise,133382309.0,Action|Adventure|Thriller,Philip Seymour Hoffman,Mission: Impossible III ,150000000.0,6.9
Roland Emmerich,Jake Weber,73103784.0,Action|Drama|Thriller,Channing Tatum,White House Down ,150000000.0,6.4
Simon Wells,Dan Fogler,21379315.0,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Elisabeth Harnois,Mars Needs Moms ,150000000.0,5.4
David Bowers,Kate Winslet,64459316.0,Adventure|Animation|Comedy|Family,Hugh Jackman,Flushed Away ,149000000.0,6.7
Joe Wright,Cara Delevingne,34964818.0,Adventure|Family|Fantasy,Hugh Jackman,Pan ,150000000.0,5.8
Rob Minkoff,Zach Callison,111505642.0,Adventure|Animation|Comedy|Family|Sci-Fi,Ty Burrell,Mr. Peabody & Sherman ,145000000.0,6.9
Wolfgang Petersen,Orlando Bloom,133228348.0,Adventure,Brad Pitt,Troy ,175000000.0,7.2
Eric Darnell,Martin Short,216366733.0,Adventure|Animation|Comedy|Family,Jada Pinkett Smith,Madagascar 3: Europe's Most Wanted ,145000000.0,6.9
Lee Tamahori,Colin Salmon,160201106.0,Action|Adventure|Thriller,Toby Stephens,Die Another Day ,142000000.0,6.1
Paul Feig,Kate McKinnon,118099659.0,Action|Comedy|Fantasy|Sci-Fi,Ed Begley Jr.,Ghostbusters ,144000000.0,5.5
Michael Bay,Steve Buscemi,201573391.0,Action|Adventure|Sci-Fi|Thriller,Bruce Willis,Armageddon ,140000000.0,6.6
Barry Sonnenfeld,Rosario Dawson,190418803.0,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Will Smith,Men in Black II ,140000000.0,6.1
Robert Zemeckis,Anthony Hopkins,82161969.0,Action|Adventure|Animation|Fantasy,Robin Wright,Beowulf ,150000000.0,6.3
Alessandro Carloni,Angelina Jolie Pitt,143523463.0,Action|Adventure|Animation|Comedy|Family,J.K. Simmons,Kung Fu Panda 3 ,145000000.0,7.2
Brad Bird,Jeremy Renner,209364921.0,Action|Adventure|Thriller,Tom Cruise,Mission: Impossible - Ghost Protocol ,145000000.0,7.4
Peter Ramsey,Kamil McFadden,103400692.0,Adventure|Animation|Family|Fantasy,Hugh Jackman,Rise of the Guardians ,145000000.0,7.3
Dean Parisot,Richard Burgi,110332737.0,Comedy|Crime,John Michael Higgins,Fun with Dick and Jane ,100000000.0,6.1
Edward Zwick,Tony Goldwyn,111110575.0,Action|Drama|History|War,Tom Cruise,The Last Samurai ,140000000.0,7.7
Ridley Scott,María Valverde,65007045.0,Action|Adventure|Drama,Christian Bale,Exodus: Gods and Kings ,140000000.0,6.1
J.J. Abrams,Leonard Nimoy,257704099.0,Action|Adventure|Sci-Fi,Chris Hemsworth,Star Trek ,150000000.0,8.0
Sam Raimi,James Franco,403706375.0,Action|Adventure|Fantasy|Romance,J.K. Simmons,Spider-Man ,139000000.0,7.3
Dean DeBlois,Djimon Hounsou,176997107.0,Action|Adventure|Animation|Comedy|Family|Fantasy,Gerard Butler,How to Train Your Dragon 2 ,145000000.0,7.9
Alex Proyas,Elodie Yung,31141074.0,Action|Adventure|Fantasy,Gerard Butler,Gods of Egypt ,140000000.0,5.5
Rob Cohen,Joe Morton,31704416.0,Action|Adventure|Sci-Fi|Thriller,Sam Shepard,Stealth ,135000000.0,5.0
Zack Snyder,Billy Crudup,107503316.0,Action|Drama|Mystery|Sci-Fi,Matt Frewer,Watchmen ,130000000.0,7.7
Richard Donner,Rene Russo,129734803.0,Action|Crime|Thriller,Jet Li,Lethal Weapon 4 ,140000000.0,6.6
Ang Lee,Regi Davis,132122995.0,Action|Sci-Fi,Kevin Rankin,Hulk ,137000000.0,5.7
Jon M. Chu,Dwayne Johnson,122512052.0,Action|Adventure|Sci-Fi|Thriller,Channing Tatum,G.I. Joe: Retaliation ,130000000.0,5.8
Breck Eisner,Rainn Wilson,68642452.0,Action|Adventure|Comedy|Thriller,Matthew McConaughey,Sahara ,130000000.0,6.0
Hironobu Sakaguchi,Ming-Na Wen,32131830.0,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Steve Buscemi,Final Fantasy: The Spirits Within ,137000000.0,6.4
Joe Johnston,Dominic Cooper,176636816.0,Action|Adventure|Sci-Fi,Chris Evans,Captain America: The First Avenger ,140000000.0,6.9
Michael Apted,Maria Grazia Cucinotta,126930660.0,Action|Adventure|Thriller,Colin Salmon,The World Is Not Enough ,135000000.0,6.4
Peter Weir,Lee Ingleby,93926386.0,Action|Adventure|Drama|History|War,James D'Arcy,Master and Commander: The Far Side of the World ,150000000.0,7.4
Bill Condon,Kristen Stewart,292298923.0,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,120000000.0,5.5
George Miller,Brad Pitt,63992328.0,Animation|Comedy|Family|Musical,Robin Williams,Happy Feet 2 ,135000000.0,5.9
Louis Leterrier,Peter Mensah,134518390.0,Action|Adventure|Sci-Fi,Ty Burrell,The Incredible Hulk ,150000000.0,6.8
,Philip Michael Thomas,,Action|Crime|Drama|Mystery|Thriller,Don Johnson,Miami Vice             ,1500000.0,7.5
Steven Spielberg,Penelope Wilton,52792307.0,Adventure|Family|Fantasy,Mark Rylance,The BFG ,140000000.0,6.8
Alejandro G. Iñárritu,Tom Hardy,183635922.0,Adventure|Drama|Thriller|Western,Leonardo DiCaprio,The Revenant ,135000000.0,8.1
David Soren,Snoop Dogg,83024900.0,Adventure|Animation|Comedy|Family|Sport,Ryan Reynolds,Turbo ,135000000.0,6.5
Gore Verbinski,Ray Winstone,123207194.0,Adventure|Animation|Comedy|Family|Western,Johnny Depp,Rango ,135000000.0,7.2
Eric Darnell,Annet Mahendru,83348920.0,Adventure|Animation|Comedy|Family,Benedict Cumberbatch,Penguins of Madagascar ,132000000.0,6.7
Paul Greengrass,Edgar Ramírez,227137090.0,Action|Mystery|Thriller,Matt Damon,The Bourne Ultimatum ,110000000.0,8.1
Mark Osborne,Wayne Knight,215395021.0,Action|Adventure|Animation|Comedy|Family,Angelina Jolie Pitt,Kung Fu Panda ,130000000.0,7.6
Peyton Reed,Hayley Atwell,180191634.0,Action|Adventure|Comedy|Sci-Fi,Judy Greer,Ant-Man ,130000000.0,7.4
Francis Lawrence,Josh Hutcherson,424645577.0,Adventure|Sci-Fi|Thriller,Jennifer Lawrence,The Hunger Games: Catching Fire ,130000000.0,7.6
Bill Condon,Kristen Stewart,292298923.0,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,120000000.0,5.5
Tim Johnson,Matt Jones,177343675.0,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Jim Parsons,Home ,135000000.0,6.7
Steven Spielberg,Lisa Ann Walter,234277056.0,Adventure|Sci-Fi|Thriller,Tom Cruise,War of the Worlds ,132000000.0,6.5
Michael Bay,Henry Rollins,138396624.0,Action|Comedy|Crime|Thriller,Will Smith,Bad Boys II ,130000000.0,6.6
Chris Miller,Constance Marie,149234747.0,Action|Adventure|Animation|Comedy|Family|Fantasy,Salma Hayek,Puss in Boots ,130000000.0,6.7
Phillip Noyce,Andre Braugher,118311368.0,Action|Crime|Mystery|Thriller,Angelina Jolie Pitt,Salt ,110000000.0,6.4
Darren Aronofsky,Emma Watson,101160529.0,Action|Adventure|Drama,Anthony Hopkins,Noah ,125000000.0,5.8
Steven Spielberg,Mackenzie Crook,77564037.0,Action|Adventure|Family|Mystery,Toby Jones,The Adventures of Tintin ,135000000.0,7.4
Alfonso Cuarón,Gary Oldman,249358727.0,Adventure|Family|Fantasy|Mystery,Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban ,130000000.0,7.8
Baz Luhrmann,Bryan Brown,49551662.0,Adventure|Drama|Romance|War,Essie Davis,Australia ,130000000.0,6.6
