title,production_cost,domestic_gross,worldwide_gross,opening_weekend,genre,Movie_Title,Director,Actors,Total_Gross,main_genre
Robin Hood,99000000,30824628,85210012,36063385.0,Action,Robin Hood,Ridley Scott,"Russell Crowe, Cate Blanchett, Matthew Macfadyen, Max von Sydow",$105.27M,Action
Robin Hood,99000000,30824628,85210012,36063385.0,Action,Robin Hood,Otto Bathurst,"Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson",$30.82M,Action
Robin Hood,99000000,30824628,85210012,36063385.0,Action,Robin Hood,"Directors:Wolfgang Reitherman, David Hand","Brian Bedford, Phil Harris, Roger Miller, Peter Ustinov",$32.06M,Animation
King Kong,207000000,218080025,550517357,50130145.0,Adventure,King Kong,Peter Jackson,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann",$218.08M,Action
Tenet,205000000,58504105,362450957,20001852.0,Action,Tenet,Christopher Nolan,"John David Washington, Robert Pattinson, Elizabeth Debicki, Juhan Ulfsak",$58.46M,Action
Spider-Man: No Way Home,200000000,814108407,1912775610,260138569.0,Action,Spider-Man: No Way Home,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon",$804.75M,Action
Black Panther,200000000,700059566,1336494321,202003951.0,Action,Black Panther,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",$700.06M,Action
Titanic,200000000,659363944,2207986545,28638131.0,Drama,Titanic,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates",$659.33M,Drama
Incredibles 2,200000000,608581744,1242805359,182687905.0,Adventure,Incredibles 2,Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner",$608.58M,Animation
Finding Dory,200000000,486295561,1025006125,135060273.0,Adventure,Finding Dory,"Directors:Andrew Stanton, Angus MacLane","Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson",$486.30M,Animation
Toy Story 4,200000000,434038008,1073080329,120908065.0,Adventure,Toy Story 4,Josh Cooley,"Tom Hanks, Tim Allen, Annie Potts, Tony Hale",$434.04M,Animation
Toy Story 3,200000000,415004880,1068879522,110307189.0,Adventure,Toy Story 3,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",$415.00M,Animation
Doctor Strange in the Multiverse of Madness,200000000,411331607,952224986,187420998.0,Action,Doctor Strange in the Multiverse of Madness,Sam Raimi,"Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong",Gross Unkown,Action
Spider-Man 2,200000000,373524485,794697557,88156227.0,Adventure,Spider-Man 2,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Alfred Molina, James Franco",$373.59M,Action
The Batman,200000000,369345583,767820302,134008624.0,Action,The Batman,Matt Reeves,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell",Gross Unkown,Action
Alice in Wonderland,200000000,334191110,1025491110,116101023.0,Adventure,Alice in Wonderland,"Directors:Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney","Kathryn Beaumont, Ed Wynn, Richard Haydn, Sterling Holloway",$1.07M,Animation
Alice in Wonderland,200000000,334191110,1025491110,116101023.0,Adventure,Alice in Wonderland,Tim Burton,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway",$334.19M,Adventure
Skyfall,200000000,304360277,1110526981,88364714.0,Action,Skyfall,Sam Mendes,"Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench",$304.36M,Action
Monsters University,200000000,268488329,743455810,82429469.0,Adventure,Monsters University,Dan Scanlon,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",$268.49M,Animation
X-Men: Days of Future Past,200000000,233921534,747862775,90823660.0,Action,X-Men: Days of Future Past,Bryan Singer,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy",$233.92M,Action
The Amazing Spider-Man 2,200000000,202853933,708996336,91608337.0,Action,The Amazing Spider-Man 2,Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti",$202.85M,Action
Cars 2,200000000,191450875,560155383,66135507.0,Adventure,Cars 2,"Directors:John Lasseter, Bradford Lewis","Owen Wilson, Larry the Cable Guy, Michael Caine, Emily Mortimer",$191.45M,Animation
Black Widow,200000000,183651655,379751655,80366312.0,Action,Black Widow,Cate Shortland,"Scarlett Johansson, Florence Pugh, David Harbour, Rachel Weisz",$183.65M,Action
Fast & Furious Presents: Hobbs & Shaw,200000000,173956935,760381706,60038950.0,Action,Fast & Furious Presents: Hobbs & Shaw,David Leitch,"Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby",$173.96M,Action
2012,200000000,166112167,757677748,65237614.0,Action,2012,Roland Emmerich,"John Cusack, Thandiwe Newton, Chiwetel Ejiofor, Amanda Peet",$166.11M,Action
Eternals,200000000,164870264,402064929,71297219.0,Action,Eternals,Chloé Zhao,"Gemma Chan, Richard Madden, Angelina Jolie, Salma Hayek",$164.87M,Action
Terminator Salvation,200000000,125322469,365491792,42558390.0,Action,Terminator Salvation,McG,"Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood",$125.32M,Action
Lightyear,200000000,118307188,218571346,50577961.0,Adventure,Lightyear,Angus MacLane,"Chris Evans, Keke Palmer, Peter Sohn, Taika Waititi",Gross Unkown,Animation
Jungle Cruise,200000000,116987516,210384144,35018731.0,Adventure,Jungle Cruise,Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Edgar Ramírez, Jack Whitehall",$116.99M,Action
Green Lantern,200000000,116601172,219535492,53174303.0,Action,Green Lantern,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong",$116.60M,Action
Dark Phoenix,200000000,65845974,246356895,32828348.0,Action,Dark Phoenix,Simon Kinberg,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",$65.85M,Action
Onward,200000000,61555145,133317030,39119861.0,Adventure,Onward,Dan Scanlon,"Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer",$61.56M,Animation
Wonder Woman 1984,200000000,46801036,166360232,16701957.0,Action,Wonder Woman 1984,Patty Jenkins,"Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal",$46.37M,Action
Mulan,200000000,0,69965374,,Adventure,Mulan,Niki Caro,"Liu Yifei, Donnie Yen, Gong Li, Jet Li",Gross Unkown,Action
Mulan,200000000,0,69965374,,Adventure,Mulan,"Directors:Tony Bancroft, Barry Cook","Ming-Na Wen, Eddie Murphy, BD Wong, Miguel Ferrer",$120.62M,Animation
The Tomorrow War,200000000,0,19220000,,Action,The Tomorrow War,Chris McKay,"Chris Pratt, Yvonne Strahovski, J.K. Simmons, Betty Gilpin",Gross Unkown,Action
The Gray Man,200000000,0,451178,,Thriller/Suspense,The Gray Man,"Directors:Anthony Russo, Joe Russo","Ryan Gosling, Chris Evans, Ana de Armas, Billy Bob Thornton",Gross Unkown,Action
Transformers: Dark of the Moon,195000000,352390543,1123794079,97852865.0,Action,Transformers: Dark of the Moon,Michael Bay,"Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel",$352.39M,Action
The Mummy,195000000,80101125,409953905,31668375.0,Adventure,The Mummy,Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",$155.25M,Action
The Mummy,195000000,80101125,409953905,31668375.0,Adventure,The Mummy,Alex Kurtzman,"Tom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe",$80.10M,Action
Jack the Giant Slayer,195000000,65187603,197687603,27202226.0,Adventure,Jack the Giant Slayer,Bryan Singer,"Nicholas Hoult, Stanley Tucci, Ewan McGregor, Bill Nighy",$65.19M,Action
Star Trek Into Darkness,190000000,228778661,467381584,70165559.0,Adventure,Star Trek Into Darkness,J.J. Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch",$228.78M,Action
World War Z,190000000,202706711,531861650,66411834.0,Action,World War Z,Marc Forster,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale",$202.36M,Action
The Great Gatsby,190000000,144840419,353640419,50085184.0,Drama,The Great Gatsby,Baz Luhrmann,"Leonardo DiCaprio, Carey Mulligan, Joel Edgerton, Tobey Maguire",$144.84M,Drama
The Great Gatsby,190000000,144840419,353640419,50085184.0,Drama,The Great Gatsby,Jack Clayton,"Robert Redford, Mia Farrow, Bruce Dern, Karen Black",$6.74M,Drama
Pacific Rim,190000000,101802906,411002906,37285325.0,Action,Pacific Rim,Guillermo del Toro,"Idris Elba, Charlie Hunnam, Rinko Kikuchi, Charlie Day",$101.80M,Action
The Matrix Resurrections,190000000,37686805,156467817,10749011.0,Action,The Matrix Resurrections,Lana Wachowski,"Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II, Jonathan Groff",Gross Unkown,Action
The Good Dinosaur,187500000,123087120,333771037,39155217.0,Adventure,The Good Dinosaur,Peter Sohn,"Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla, Ryan Teeple",$123.09M,Animation
Iron Man,186000000,318604126,585171547,102118668.0,Adventure,Iron Man,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges",$318.41M,Action
The Dark Knight,185000000,533720947,998615789,158411483.0,Action,The Dark Knight,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",$534.86M,Action
Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,786635413,100137835.0,Adventure,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,"Harrison Ford, Cate Blanchett, Shia LaBeouf, Karen Allen",$317.10M,Action
Brave,185000000,237282182,554606532,66323594.0,Adventure,Brave,"Directors:Mark Andrews, Brenda Chapman, Steve Purcell","Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters",$237.28M,Animation
Kong: Skull Island,185000000,168052812,561072059,61025472.0,Adventure,Kong: Skull Island,Jordan Vogt-Roberts,"Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly",$168.05M,Action
Star Trek Beyond,185000000,158848340,335673708,59253211.0,Adventure,Star Trek Beyond,Justin Lin,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana",$158.85M,Action
Blade Runner 2049,185000000,92054159,258829058,32753122.0,Thriller/Suspense,Blade Runner 2049,Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista",$92.05M,Action
Terminator: Dark Fate,185000000,62253077,250372367,29033832.0,Action,Terminator: Dark Fate,Tim Miller,"Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Natalia Reyes",$62.25M,Action
The Suicide Squad,185000000,55817425,167120232,26205415.0,Action,The Suicide Squad,James Gunn,"Margot Robbie, Idris Elba, John Cena, Joel Kinnaman",Gross Unkown,Action
The Suicide Squad,185000000,55817425,167120232,26205415.0,Action,The Suicide Squad,James Gunn,"Margot Robbie, Idris Elba, John Cena, Joel Kinnaman",$55.82M,Action
Aladdin,182000000,355559216,1046649706,91500929.0,Adventure,Aladdin,"Directors:Ron Clements, John Musker","Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman",$217.35M,Animation
Aladdin,182000000,355559216,1046649706,91500929.0,Adventure,Aladdin,Guy Ritchie,"Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari",$355.56M,Adventure
Thor: Ragnarok,180000000,315058289,850482778,122744989.0,Action,Thor: Ragnarok,Taika Waititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo",$315.06M,Action
Rush Hour 3,180000000,140125968,256585882,49100158.0,Action,Rush Hour 3,Brett Ratner,"Jackie Chan, Chris Tucker, Max von Sydow, Hiroyuki Sanada",$140.13M,Action
The Legend of Tarzan,180000000,126643061,348902025,38527856.0,Adventure,The Legend of Tarzan,David Yates,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz",$126.64M,Action
Hugo,180000000,73864507,180047784,11364505.0,Adventure,Hugo,Martin Scorsese,"Asa Butterfield, Chloë Grace Moretz, Christopher Lee, Ben Kingsley",$73.86M,Adventure
Valerian and the City of a Thousand Planets,180000000,40479370,215098356,17007624.0,Adventure,Valerian and the City of a Thousand Planets,Luc Besson,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna",$41.19M,Action
Jupiter Ascending,179000000,47482519,181982519,18372372.0,Action,Jupiter Ascending,"Directors:Lana Wachowski, Lilly Wachowski","Channing Tatum, Mila Kunis, Eddie Redmayne, Sean Bean",$47.39M,Action
X-Men: Apocalypse,178000000,155442489,542537546,65769562.0,Action,X-Men: Apocalypse,Bryan Singer,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",$155.44M,Action
The Meg,178000000,145443742,527370715,45402195.0,Action,The Meg,Jon Turteltaub,"Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis",$143.01M,Action
Edge of Tomorrow,178000000,100206256,367028980,28760246.0,Action,Edge of Tomorrow,Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson",$100.21M,Action
Captain Marvel,175000000,426829839,1129727388,153433423.0,Action,Captain Marvel,"Directors:Anna Boden, Ryan Fleck","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law",$426.83M,Action
The Jungle Book,175000000,364001123,953554418,103261464.0,Adventure,The Jungle Book,Wolfgang Reitherman,"Phil Harris, Sebastian Cabot, Louis Prima, Bruce Reitherman",$141.84M,Animation
The Jungle Book,175000000,364001123,953554418,103261464.0,Adventure,The Jungle Book,Jon Favreau,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",$364.00M,Adventure
Inside Out,175000000,356461711,853003563,90440272.0,Adventure,Inside Out,"Directors:Pete Docter, Ronnie Del Carmen","Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling",$356.46M,Animation
Spider-Man: Homecoming,175000000,334201140,878346440,117027503.0,Action,Spider-Man: Homecoming,Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei",$334.20M,Action
Suicide Squad,175000000,325100054,745744980,133682248.0,Action,Suicide Squad,David Ayer,"Will Smith, Jared Leto, Margot Robbie, Viola Davis",$325.10M,Action
Up,175000000,293004164,731463377,68108790.0,Adventure,Up,"Directors:Pete Docter, Bob Peterson","Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer",$293.00M,Animation
Coco,175000000,210460015,797666425,50802605.0,Musical,Coco,"Directors:Lee Unkrich, Adrian Molina","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach",$209.73M,Animation
Monsters vs. Aliens,175000000,198351526,381687380,59321095.0,Adventure,Monsters vs. Aliens,"Directors:Rob Letterman, Conrad Vernon","Reese Witherspoon, Rainn Wilson, Stephen Colbert, Seth Rogen",$198.35M,Animation
Cars 3,175000000,152901115,383541369,53688680.0,Adventure,Cars 3,Brian Fee,"Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion",$152.90M,Animation
G.I. Joe: The Rise of Cobra,175000000,150201498,302469017,54713046.0,Action,G.I. Joe: The Rise of Cobra,Stephen Sommers,"Dennis Quaid, Channing Tatum, Marlon Wayans, Adewale Akinnuoye-Agbaje",$152.27M,Action
Wild Wild West,175000000,113805681,221229335,27687484.0,Adventure,Wild Wild West,Barry Sonnenfeld,"Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek",$113.81M,Action
Evan Almighty,175000000,100289690,174131329,31192615.0,Comedy,Evan Almighty,Tom Shadyac,"Steve Carell, Morgan Freeman, Lauren Graham, Johnny Simmons",$100.46M,Comedy
Waterworld,175000000,88246220,264246220,21171780.0,Action,Waterworld,Kevin Reynolds,"Kevin Costner, Jeanne Tripplehorn, Dennis Hopper, Tina Majorino",$88.25M,Action
Dolittle,175000000,77047065,251410631,21844045.0,Adventure,Dolittle,Stephen Gaghan,"Robert Downey Jr., Antonio Banderas, Michael Sheen, Jim Broadbent",$77.05M,Adventure
King Arthur: Legend of the Sword,175000000,39175066,139630336,15371270.0,Adventure,King Arthur: Legend of the Sword,Guy Ritchie,"Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou",$39.18M,Action
47 Ronin,175000000,38362475,151716815,9910310.0,Action,47 Ronin,Carl Rinsch,"Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki, Tadanobu Asano",$38.36M,Action
Turning Red,175000000,0,10965045,,Adventure,Turning Red,Domee Shi,"Rosalie Chiang, Sandra Oh, Ava Morse, Hyein Park",Gross Unkown,Animation
Top Gun: Maverick,170000000,715270567,1478823595,126707459.0,Action,Top Gun: Maverick,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer",Gross Unkown,Action
Jurassic World: Fallen Kingdom,170000000,417719760,1308334005,148024610.0,Action,Jurassic World: Fallen Kingdom,J.A. Bayona,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith",$417.72M,Action
Guardians of the Galaxy,170000000,333714112,770882395,94320883.0,Action,Guardians of the Galaxy,James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",$333.18M,Action
Iron Man 2,170000000,312433331,621156389,128122480.0,Action,Iron Man 2,Jon Favreau,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle",$312.43M,Action
Captain America: The Winter Soldier,170000000,259746958,714401889,95023721.0,Action,Captain America: The Winter Soldier,"Directors:Anthony Russo, Joe Russo","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",$259.77M,Action
Dawn of the Planet of the Apes,170000000,208545589,710644566,72611427.0,Adventure,Dawn of the Planet of the Apes,Matt Reeves,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee",$208.55M,Action
The Polar Express,170000000,188578855,312719437,23325035.0,Adventure,The Polar Express,Robert Zemeckis,"Tom Hanks, Chris Coppola, Michael Jeter, Leslie Zemeckis",$183.37M,Animation
Snow White and the Huntsman,170000000,155136755,401021746,56217700.0,Adventure,Snow White and the Huntsman,Rupert Sanders,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin",$155.33M,Action
Terminator 3: Rise of the Machines,170000000,150358296,433058296,44041440.0,Action,Terminator 3: Rise of the Machines,Jonathan Mostow,"Arnold Schwarzenegger, Nick Stahl, Kristanna Loken, Claire Danes",$150.37M,Action
Van Helsing,170000000,120150546,300150546,51748040.0,Action,Van Helsing,Stephen Sommers,"Hugh Jackman, Kate Beckinsale, Richard Roxburgh, Shuler Hensley",$120.18M,Action
Dumbo,170000000,114766307,353166307,45990748.0,Adventure,Dumbo,"Directors:Samuel Armstrong, Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen, John Elliotte","Sterling Holloway, Edward Brophy, Herman Bing, Billy Bletcher",$1.60M,Animation
Godzilla: King of the Monsters,170000000,110500138,383299915,47776293.0,Action,Godzilla: King of the Monsters,Michael Dougherty,"Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Ken Watanabe",$110.50M,Action
Tomorrowland,170000000,93436322,206627518,33028165.0,Adventure,Tomorrowland,Brad Bird,"George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy",$93.44M,Action
Alita: Battle Angel,170000000,85838210,401900040,28525613.0,Action,Alita: Battle Angel,Robert Rodriguez,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali",$85.71M,Action
Alice Through the Looking Glass,170000000,77042381,276928112,26858726.0,Adventure,Alice Through the Looking Glass,James Bobin,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway",$77.04M,Adventure
Shrek Forever After,165000000,238736787,756244673,70838207.0,Adventure,Shrek Forever After,Mike Mitchell,"Mike Myers, Cameron Diaz, Eddie Murphy, Antonio Banderas",$238.37M,Animation
Doctor Strange,165000000,232641920,676354481,85058311.0,Action,Doctor Strange,Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",$232.64M,Action
Big Hero 6,165000000,222527828,648415024,56215889.0,Adventure,Big Hero 6,"Directors:Don Hall, Chris Williams","Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller",$222.53M,Animation
