name,genre,score,director,actor_2_name,gross,actor_1_name,budget
The Best Little Whorehouse in Texas,Comedy,6.0,Colin Higgins,Barry Corbin,69700000.0,Dolly Parton,35000000.0
Megaforce,Action,3.7,Hal Needham,Michael Beck,5333658.0,Barry Bostwick,20000000.0
The Wizard of Oz,Animation,6.8,Fumihiko Takayama,Terry,22202612.0,Margaret Hamilton,2800000.0
Scarface,Crime,8.3,Brian De Palma,F. Murray Abraham,44700000.0,Al Pacino,25000000.0
The Outsiders,Crime,7.1,Francis Ford Coppola,William Smith,25600000.0,Tom Cruise,10000000.0
Star Wars: Episode VI - Return of the Jedi,Action,8.3,Richard Marquand,Ian McDiarmid,309125409.0,Harrison Ford,32500000.0
National Lampoon's Vacation,Adventure,7.4,Harold Ramis,Randy Quaid,61400000.0,Beverly D'Angelo,15000000.0
Superman III,Action,5.0,Richard Lester,Robert Vaughn,60000000.0,Margot Kidder,39000000.0
Flashdance,Drama,6.2,Adrian Lyne,Cynthia Rhodes,94900000.0,Michael Nouri,4000000.0
WarGames,Action,7.1,John Badham,Barry Corbin,79568000.0,Matthew Broderick,12000000.0
The Right Stuff,Adventure,7.8,Philip Kaufman,Scott Glenn,21500000.0,Dennis Quaid,27000000.0
Octopussy,Action,6.5,John Glen,Kabir Bedi,67900000.0,Louis Jourdan,27500000.0
Twilight Zone: The Movie,Horror,6.5,Directors,Al Leong,29500000.0,Albert Brooks,10000000.0
Never Say Never Again,Action,6.2,Irvin Kershner,Klaus Maria Brandauer,55500000.0,Bernie Casey,36000000.0
Bad Boys,Crime,7.2,Rick Rosenthal,Tchéky Karyo,65807024.0,Will Smith,19000000.0
Bad Boys,Action,6.9,Michael Bay,Tchéky Karyo,65807024.0,Will Smith,19000000.0
Yentl,Drama,6.6,Barbra Streisand,Amy Irving,30400000.0,Miriam Margolyes,12000000.0
Lone Wolf McQuade,Action,6.3,Steve Carver,William Sanderson,12200000.0,David Carradine,5000000.0
Sahara,Adventure,5.0,Andrew V. McLaglen,Rainn Wilson,68642452.0,Matthew McConaughey,130000000.0
Sahara,Action,6.0,Breck Eisner,Rainn Wilson,68642452.0,Matthew McConaughey,130000000.0
Hercules,Adventure,4.0,Luigi Cozzi,Rufus Sewell,72660029.0,Dwayne Johnson,100000000.0
Hercules,Animation,7.3,Ron Clements,Rufus Sewell,72660029.0,Dwayne Johnson,100000000.0
Hercules,Action,6.0,Brett Ratner,Rufus Sewell,72660029.0,Dwayne Johnson,100000000.0
Independence Day,Drama,6.5,Robert Mandel,Adam Baldwin,306124059.0,Will Smith,75000000.0
Independence Day,Action,7.0,Roland Emmerich,Adam Baldwin,306124059.0,Will Smith,75000000.0
The Terminator,Action,8.0,James Cameron,Brian Thompson,38400000.0,Michael Biehn,6500000.0
Dune,Action,6.5,David Lynch,Jürgen Prochnow,27400000.0,Virginia Madsen,40000000.0
Ghostbusters,Action,7.8,Ivan Reitman,Kate McKinnon,118099659.0,Ed Begley Jr.,144000000.0
Ghostbusters,Action,6.7,Paul Feig,Kate McKinnon,118099659.0,Ed Begley Jr.,144000000.0
The Karate Kid,Action,7.3,John G. Avildsen,William Zabka,90800000.0,Martin Kove,8000000.0
The Karate Kid,Action,6.2,Harald Zwart,William Zabka,90800000.0,Martin Kove,8000000.0
Once Upon a Time in America,Crime,8.4,Sergio Leone,Burt Young,5300000.0,Robert De Niro,30000000.0
Police Academy,Comedy,6.7,Hugh Wilson,Bubba Smith,81200000.0,Steve Guttenberg,4500000.0
Indiana Jones and the Temple of Doom,Action,7.5,Steven Spielberg,Amrish Puri,179870271.0,Harrison Ford,28000000.0
A Nightmare on Elm Street,Horror,7.5,Wes Craven,Lin Shaye,26505000.0,Johnny Depp,1800000.0
A Nightmare on Elm Street,Crime,5.2,Samuel Bayer,Lin Shaye,26505000.0,Johnny Depp,1800000.0
Amadeus,Biography,8.3,Milos Forman,F. Murray Abraham,51600000.0,Jeffrey Jones,18000000.0
Beverly Hills Cop,Action,7.3,Martin Brest,Ronny Cox,234760500.0,Judge Reinhold,14000000.0
Footloose,Drama,6.6,Herbert Ross,Chris Penn,80000000.0,Dianne Wiest,8200000.0
Footloose,Comedy,5.9,Craig Brewer,Chris Penn,80000000.0,Dianne Wiest,8200000.0
Gremlins,Comedy,7.3,Joe Dante,Harry Carey Jr.,148170000.0,Phoebe Cates,11000000.0
Conan the Destroyer,Action,5.9,Richard Fleischer,Olivia d'Abo,26400000.0,Mako,18000000.0
Splash,Comedy,6.3,Ron Howard,Howard Morris,69800000.0,Tom Hanks,8000000.0
The Bounty,Adventure,7.0,Roger Donaldson,Anthony Hopkins,8600000.0,Liam Neeson,25000000.0
Firestarter,Action,6.1,Mark L. Lester,George C. Scott,15100000.0,Heather Locklear,15000000.0
Star Trek III: The Search for Spock,Action,6.7,Leonard Nimoy,Nichelle Nichols,76400000.0,Leonard Nimoy,17000000.0
The Cotton Club,Crime,6.5,Francis Ford Coppola,Bob Hoskins,25900000.0,Nicolas Cage,58000000.0
A Passage to India,Adventure,7.3,David Lean,Judy Davis,26400000.0,Richard Wilson,16000000.0
The Hotel New Hampshire,Comedy,6.0,Tony Richardson,Beau Bridges,5100000.0,Joely Richardson,7500000.0
Heartbreakers,Drama,5.9,Bobby Roth,Anne Bancroft,40334024.0,Sarah Silverman,35000000.0
Heartbreakers,Comedy,6.2,David Mirkin,Anne Bancroft,40334024.0,Sarah Silverman,35000000.0
The Adventures of Pinocchio,Animation,5.1,Ippei Kuri,Udo Kier,15091542.0,Martin Landau,25000000.0
The Adventures of Pinocchio,Adventure,5.2,Steve Barron,Udo Kier,15091542.0,Martin Landau,25000000.0
Back to the Future,Adventure,8.5,Robert Zemeckis,Thomas F. Wilson,210609762.0,Lea Thompson,19000000.0
Rambo: First Blood Part II,Action,6.5,George P. Cosmatos,Julia Nickson,150415432.0,Sylvester Stallone,44000000.0
Legend,Adventure,6.4,Ridley Scott,Paul Anderson,1865774.0,Tom Hardy,30000000.0
Legend,Biography,6.9,Brian Helgeland,Paul Anderson,1865774.0,Tom Hardy,30000000.0
Brazil,Drama,7.9,Terry Gilliam,Bob Hoskins,9929000.0,Robert De Niro,15000000.0
Pale Rider,Drama,7.3,Clint Eastwood,Chris Penn,41400000.0,Clint Eastwood,6900000.0
Witness,Crime,7.4,Peter Weir,Viggo Mortensen,65500000.0,Harrison Ford,12000000.0
The Color Purple,Drama,7.8,Steven Spielberg,Rae Dawn Chong,94175854.0,Oprah Winfrey,15000000.0
Silverado,Action,7.2,Lawrence Kasdan,Todd Allen,33200000.0,Scott Glenn,26000000.0
A Room with a View,Drama,7.3,James Ivory,Rupert Graves,20966644.0,Julian Sands,3000000.0
Fright Night,Fantasy,7.1,Tom Holland,Reid Ewing,18298649.0,Grace Phipps,30000000.0
Fright Night,Comedy,6.4,Craig Gillespie,Reid Ewing,18298649.0,Grace Phipps,30000000.0
Mad Max Beyond Thunderdome,Action,6.3,George Miller,Bruce Spence,36200000.0,Tina Turner,12305523.0
A View to a Kill,Action,6.3,John Glen,Alison Doody,50300000.0,Patrick Macnee,30000000.0
A Nightmare on Elm Street 2: Freddy's Revenge,Horror,5.5,Jack Sholder,Robert Rusler,30000000.0,Clu Gulager,2200000.0
Out of Africa,Biography,7.2,Sydney Pollack,Michael Gough,87100000.0,Meryl Streep,31000000.0
Friday the 13th: A New Beginning,Horror,4.8,Danny Steinmann,Melanie Kinnaman,21300000.0,Tiffany Helm,2200000.0
The Last Dragon,Action,6.9,Michael Schultz,Vanity,33000000.0,Mike Starr,10000000.0
Young Sherlock Holmes,Adventure,6.8,Barry Levinson,Roger Ashton-Griffiths,4250320.0,Nicholas Rowe,18000000.0
The Protector,Action,5.7,James Glickenhaus,Nathan Jones,11905519.0,Jon Foo,200000000.0
The Protector,Action,7.1,Prachya Pinkaew,Nathan Jones,11905519.0,Jon Foo,200000000.0
The Aviator,Adventure,5.5,George Miller,Adam Scott,102608827.0,Leonardo DiCaprio,110000000.0
The Aviator,Biography,7.5,Martin Scorsese,Adam Scott,102608827.0,Leonardo DiCaprio,110000000.0
Fever Pitch,Drama,4.1,Richard Brooks,KaDee Strickland,42071069.0,Jimmy Fallon,30000000.0
Fever Pitch,Comedy,6.7,David Evans,KaDee Strickland,42071069.0,Jimmy Fallon,30000000.0
Fever Pitch,Comedy,6.2,Bobby Farrelly,KaDee Strickland,42071069.0,Jimmy Fallon,30000000.0
Top Gun,Action,6.9,Tony Scott,Tom Skerritt,176781728.0,Tom Cruise,15000000.0
Aliens,Action,8.3,James Cameron,Carrie Henn,85200000.0,Michael Biehn,18500000.0
Stand by Me,Adventure,8.1,Rob Reiner,Frances Lee McCain,52287414.0,Marshall Bell,8000000.0
Crocodile Dundee,Action,6.6,Peter Faiman,Linda Kozlowski,174635000.0,Paul Hogan,8800000.0
Highlander,Action,7.1,Russell Mulcahy,Jon Polito,5900000.0,Christopher Lambert,16000000.0
Big Trouble in Little China,Action,7.3,John Carpenter,Kate Burton,11100000.0,Victor Wong,25000000.0
Platoon,Drama,8.1,Oliver Stone,Tom Berenger,137963328.0,Johnny Depp,6000000.0
Howard the Duck,Action,4.7,Willard Huyck,Jeffrey Jones,16295774.0,Lea Thompson,35000000.0
Little Shop of Horrors,Comedy,7.0,Frank Oz,Jim Belushi,38747385.0,Bill Murray,25000000.0
River's Edge,Crime,7.0,Tim Hunter,Daniel Roebuck,4600000.0,Keanu Reeves,1900000.0
9½ Weeks,Drama,6.0,Adrian Lyne,Karen Young,6734844.0,David Margulies,17000000.0
The Golden Child,Action,6.0,Michael Ritchie,Randall 'Tex' Cobb,79817937.0,Victor Wong,25000000.0
Star Trek IV: The Voyage Home,Action,7.3,Leonard Nimoy,Nichelle Nichols,109713132.0,Leonard Nimoy,25000000.0
The Wraith,Action,6.0,Mike Marvin,Randy Quaid,3500000.0,Clint Howard,2700000.0
The Color of Money,Drama,7.0,Martin Scorsese,Bill Cobbs,52293982.0,Tom Cruise,13800000.0
Peggy Sue Got Married,Comedy,6.4,Francis Ford Coppola,Kathleen Turner,41382841.0,Nicolas Cage,18000000.0
About Last Night,Comedy,6.2,Edward Zwick,Regina Hall,48637684.0,Joe Lo Truglio,12500000.0
The Texas Chainsaw Massacre 2,Comedy,5.6,Tobe Hooper,Lou Perryman,8025872.0,Bill Johnson,4700000.0
Crossroads,Drama,7.1,Walter Hill,Katherine Boecher,37188667.0,Britney Spears,12000000.0
Crossroads,Comedy,3.6,Tamra Davis,Katherine Boecher,37188667.0,Britney Spears,12000000.0
The Clan of the Cave Bear,Adventure,5.4,Michael Chapman,Pamela Reed,1953732.0,Curtis Armstrong,15000000.0
She's Gotta Have It,Comedy,6.8,Spike Lee,Joie Lee,7137502.0,S. Epatha Merkerson,175000.0
Running Scared,Action,6.5,Peter Hyams,Chazz Palminteri,6855137.0,Paul Walker,17000000.0
Running Scared,Action,7.3,Wayne Kramer,Chazz Palminteri,6855137.0,Paul Walker,17000000.0
Invaders from Mars,Horror,5.6,Tobe Hooper,Bud Cort,4884663.0,Louise Fletcher,12000000.0
April Fool's Day,Horror,6.2,Fred Walton,Deborah Foreman,12947763.0,Thomas F. Wilson,5000000.0
Witchboard,Horror,5.7,Kevin Tenney,Tawny Kitaen,7369373.0,Kathleen Wilhoite,2000000.0
Legal Eagles,Comedy,6.0,Ivan Reitman,Debra Winger,49851591.0,Brian Dennehy,40000000.0
Shanghai Surprise,Adventure,3.2,Jim Goddard,Paul Freeman,2315683.0,Victor Wong,17000000.0
Playing for Keeps,Comedy,4.2,Bob Weinstein,Dennis Quaid,13101142.0,Gerard Butler,35000000.0
Playing for Keeps,Comedy,5.7,Gabriele Muccino,Dennis Quaid,13101142.0,Gerard Butler,35000000.0
The Princess Bride,Adventure,8.1,Rob Reiner,Carol Kane,30857814.0,Robin Wright,16000000.0
Predator,Action,7.8,John McTiernan,Bill Duke,59735548.0,Shane Black,15000000.0
RoboCop,Action,7.5,Paul Verhoeven,Abbie Cornish,58607007.0,Gary Oldman,100000000.0
RoboCop,Action,6.1,José Padilha,Abbie Cornish,58607007.0,Gary Oldman,100000000.0
The Untouchables,Crime,7.9,Brian De Palma,Billy Drago,76270454.0,Robert De Niro,25000000.0
Spaceballs,Adventure,7.1,Mel Brooks,Dick Van Patten,38119483.0,Joan Rivers,22700000.0
Fatal Attraction,Drama,6.9,Adrian Lyne,Lois Smith,156645693.0,Fred Gwynne,14000000.0
Hellraiser,Horror,7.0,Clive Barker,Ashley Laurence,14564027.0,Andrew Robinson,1000000.0
The Running Man,Action,6.7,Paul Michael Glaser,Maria Conchita Alonso,38122105.0,Yaphet Kotto,27000000.0
Wall Street,Crime,7.4,Oliver Stone,Tamara Tunie,43848100.0,Hal Holbrook,15000000.0
"Good Morning, Vietnam",Biography,7.3,Barry Levinson,J.T. Walsh,123922370.0,Robin Williams,13000000.0
A Nightmare on Elm Street 3: Dream Warriors,Fantasy,6.6,Chuck Russell,Heather Langenkamp,44793200.0,John Saxon,4500000.0
Beverly Hills Cop II,Action,6.5,Tony Scott,Judge Reinhold,153665036.0,Dean Stockwell,28000000.0
Superman IV: The Quest for Peace,Action,3.7,Sidney J. Furie,Margot Kidder,15681020.0,Jim Broadbent,17000000.0
Evil Dead II,Comedy,7.7,Sam Raimi,Dan Hicks,5923044.0,Ted Raimi,3600000.0
The Living Daylights,Action,6.7,John Glen,Desmond Llewelyn,51185897.0,Joe Don Baker,30000000.0
The Last Emperor,Biography,7.7,Bernardo Bertolucci,Joan Chen,43984230.0,Cary-Hiroyuki Tagawa,23000000.0
La Bamba,Biography,6.9,Luis Valdez,Rosanna DeSoto,54215416.0,Esai Morales,6500000.0
Maurice,Drama,7.7,James Ivory,Denholm Elliott,3130592.0,Rupert Graves,2600000.0
Creepshow 2,Fantasy,6.1,Michael Gornick,Holt McCallany,14000000.0,George Kennedy,3500000.0
Teen Wolf Too,Comedy,3.4,Christopher Leitch,Robert Neary,7888703.0,John Astin,3000000.0
Ishtar,Action,4.5,Elaine May,Warren Beatty,14375181.0,Carol Kane,51000000.0
Radio Days,Comedy,7.5,Woody Allen,Don Pardo,14792779.0,Mike Starr,16000000.0
Project X,Comedy,6.1,Jonathan Kaplan,Kirby Bliss Blanton,54724272.0,Dax Flame,12000000.0
Project X,Comedy,6.6,Nima Nourizadeh,Kirby Bliss Blanton,54724272.0,Dax Flame,12000000.0
The Barbarians,Action,5.0,Ruggero Deodato,Eva LaRue,800000.0,Michael Berryman,4000000.0
Cry Freedom,Biography,7.4,Richard Attenborough,Kevin McNally,5899797.0,Denzel Washington,29000000.0
Man on Fire,Action,5.9,Élie Chouraqui,Radha Mitchell,77862546.0,Denzel Washington,70000000.0
Man on Fire,Action,7.7,Tony Scott,Radha Mitchell,77862546.0,Denzel Washington,70000000.0
Prison,Crime,5.8,Renny Harlin,Lane Smith,354704.0,Viggo Mortensen,1300000.0
American Ninja 2: The Confrontation,Action,4.9,Sam Firstenberg,Steve James,4000000.0,Michael Dudikoff,350000.0
Hot Pursuit,Comedy,5.8,Steven Lisberger,Richard T. Jones,34507079.0,Jim Gaffigan,35000000.0
Hot Pursuit,Action,5.2,Anne Fletcher,Richard T. Jones,34507079.0,Jim Gaffigan,35000000.0
Hollywood Shuffle,Comedy,7.0,Robert Townsend,Keenen Ivory Wayans,5228617.0,Robert Townsend,100000.0
Malone,Action,5.7,Harley Cokeliss,Tracey Walter,3060858.0,Cliff Robertson,10000000.0
Promised Land,Drama,5.7,Michael Hoffman,Hal Holbrook,7556708.0,Matt Damon,15000000.0
Promised Land,Drama,6.6,Gus Van Sant,Hal Holbrook,7556708.0,Matt Damon,15000000.0
Die Hard,Action,8.2,John McTiernan,Bruce Willis,81350242.0,Alan Rickman,28000000.0
Midnight Run,Action,7.5,Martin Brest,Yaphet Kotto,38413606.0,Robert De Niro,30000000.0
Beetlejuice,Comedy,7.5,Tim Burton,Jeffrey Jones,73326666.0,Catherine O'Hara,15000000.0
Big,Comedy,7.3,Penny Marshall,Jon Lovitz,114968774.0,Tom Hanks,18000000.0
Rain Man,Drama,8.0,Barry Levinson,Valeria Golino,172825435.0,Tom Cruise,25000000.0
They Live,Action,7.3,John Carpenter,Peter Jason,13008928.0,Meg Foster,4000000.0
Crocodile Dundee II,Action,5.6,John Cornell,Linda Kozlowski,109306210.0,Paul Hogan,15800000.0
Mystic Pizza,Comedy,6.3,Donald Petrie,Lili Taylor,12793213.0,Julia Roberts,6000000.0
Akira,Animation,8.0,Katsuhiro Ôtomo,Takeshi Kusao,439162.0,Mitsuo Iwata,1100000000.0
Child's Play,Fantasy,6.6,Tom Holland,Alex Vincent,33244684.0,Catherine Hicks,9000000.0
Child's Play,Drama,5.8,Lars Klevberg,Alex Vincent,33244684.0,Catherine Hicks,9000000.0
Twins,Comedy,6.1,Ivan Reitman,Tony Jay,111936400.0,Kelly Preston,15000000.0
Young Guns,Action,6.9,Christopher Cain,Patrick Wayne,44726644.0,Jack Palance,13000000.0
Bloodsport,Action,6.8,Newt Arnold,Donald Gibb,11806119.0,Bolo Yeung,1100000.0
The Last Temptation of Christ,Drama,7.5,Martin Scorsese,Barbara Hershey,8373585.0,Irvin Kershner,7000000.0
The Land Before Time,Animation,7.4,Don Bluth,Gabriel Damon,48092846.0,Judith Barsi,12500000.0
Rambo III,Action,5.8,Peter MacDonald,Kurtwood Smith,53715611.0,Sylvester Stallone,63000000.0
Dangerous Liaisons,Drama,7.6,Stephen Frears,Peter Capaldi,34700000.0,Keanu Reeves,14000000.0
Hairspray,Comedy,7.0,John Waters,Elijah Kelley,118823091.0,Jerry Stiller,75000000.0
Hairspray,Comedy,6.6,Adam Shankman,Elijah Kelley,118823091.0,Jerry Stiller,75000000.0
A Nightmare on Elm Street 4: The Dream Master,Horror,5.7,Renny Harlin,Rodney Eastman,49369900.0,Tuesday Knight,7000000.0
Halloween 4: The Return of Michael Myers,Horror,5.9,Dwight H. Little,Kathleen Kinmont,17768000.0,Donald Pleasence,5000000.0
Scrooged,Comedy,7.0,Richard Donner,Alfre Woodard,60328558.0,Bill Murray,32000000.0
My Stepmother Is an Alien,Comedy,5.4,Richard Benjamin,Alyson Hannigan,13854000.0,Jon Lovitz,20000000.0
Poltergeist III,Horror,4.7,Gary Sherman,Heather O'Rourke,14114488.0,Tom Skerritt,10500000.0
School Daze,Comedy,6.0,Spike Lee,Ossie Davis,14545844.0,Tisha Campbell-Martin,6500000.0
Phantasm II,Action,6.5,Don Coscarelli,A. Michael Baldwin,7282851.0,Angus Scrimm,3000000.0
Action Jackson,Action,5.4,Craig R. Baxley,Vanity,20257000.0,Bill Duke,7000000.0
"Bright Lights, Big City",Drama,5.7,James Bridges,Phoebe Cates,16118077.0,Dianne Wiest,25000000.0
Lady in White,Fantasy,6.7,Frank LaLoggia,Lukas Haas,1705139.0,Alex Rocco,4700000.0
Talk Radio,Drama,7.3,Oliver Stone,Zach Grenier,3468572.0,Michael Wincott,4000000.0
Chocolat,Drama,7.3,Claire Denis,Leslie Caron,71309760.0,Lena Olin,25000000.0
Chocolat,Drama,7.2,Lasse Hallström,Leslie Caron,71309760.0,Lena Olin,25000000.0
Pulse,Horror,5.4,Paul Golding,Christina Milian,20259297.0,Ian Somerhalder,20000000.0
Pulse,Horror,6.6,Kiyoshi Kurosawa,Christina Milian,20259297.0,Ian Somerhalder,20000000.0
Pulse,Horror,4.8,Jim Sonzero,Christina Milian,20259297.0,Ian Somerhalder,20000000.0
Indiana Jones and the Last Crusade,Action,8.2,Steven Spielberg,Julian Glover,197171806.0,Harrison Ford,48000000.0
Road House,Action,6.6,Rowdy Herrington,Kevin Tighe,30050028.0,Ben Gazzara,17000000.0
Batman,Action,7.5,Tim Burton,Jack Palance,251188924.0,Michael Gough,35000000.0
Bill & Ted's Excellent Adventure,Adventure,7.0,Stephen Herek,George Carlin,40485039.0,Keanu Reeves,10000000.0
Dead Poets Society,Comedy,8.1,Peter Weir,Josh Charles,95860116.0,Robin Williams,16400000.0
The Abyss,Adventure,7.5,James Cameron,Todd Graff,54222000.0,Michael Biehn,69500000.0
Back to the Future Part II,Adventure,7.8,Robert Zemeckis,Jeffrey Weissman,118500000.0,Lea Thompson,40000000.0
Do the Right Thing,Comedy,8.0,Spike Lee,John Savage,27545445.0,Ruby Dee,6500000.0
"Sex, Lies, and Videotape",Drama,7.2,Steven Soderbergh,Laura San Giacomo,24741700.0,Peter Gallagher,1200000.0
When Harry Met Sally...,Comedy,7.6,Rob Reiner,Gretchen Palmer,92823600.0,Bruno Kirby,16000000.0
Major League,Comedy,7.2,David S. Ward,Tom Berenger,49797148.0,Corbin Bernsen,11000000.0
Pet Sematary,Fantasy,6.6,Mary Lambert,Fred Gwynne,57469179.0,Miko Hughes,11500000.0
Pet Sematary,Horror,5.7,Kevin Kölsch,Fred Gwynne,57469179.0,Miko Hughes,11500000.0
